3;Afganistan;(GMT+04:30) Kabul
6;Albania;(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague
4;Algeria;(GMT+01:00) West Central Africa
10;American Samoa;(GMT-11:00) Midway Island, Samoa
8;Andorra;(GMT+01:00) West Central Africa
9;Angola;(GMT+01:00) West Central Africa
300;Anguilla;(GMT-04:00) Santiago
301;Antarctica;(GMT+12:00) Auckland, Wellington
2;Antique and Barbuda;(GMT-04:00) Santiago
11;Argentina;(GMT-03:00) Buenos Aires, Georgetown
7;Armenia;(GMT+04:00) Yerevan
302;Aruba;(GMT-04:00) Santiago
303;Ascension Island;(GMT) Greenwich Mean Time : Dublin, Edinburgh, Lisbon, London
304;Ashmore and Cartier Islands;(GMT+08:00) Taipei
12;Australia;(GMT+10:00) Canberra, Melbourne, Sydney
14;Austria;(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
5;Azerbaijan;(GMT+04:00) Baku
22;Bahamas;(GMT-05:00) Bogota, Lima, Quito, Rio Branco
17;Bahrain;(GMT+03:00) Kuwait, Riyadh
305;Baker Island;(GMT-12:00) International Date Line West
23;Bangladesh;(GMT+06:00) Astana, Dhaka
18;Barbados;(GMT-04:00) Santiago
29;Belarus;(GMT+02:00) Minsk
21;Belgium;(GMT+01:00) Brussels, Copenhagen, Madrid, Paris
24;Belize;(GMT-06:00) Central America
28;Benin;(GMT+01:00) West Central Africa
20;Bermuda;(GMT-04:00) Atlantic Time (Canada)
34;Bhutan;(GMT+06:00) Astana, Dhaka
26;Bolivia;(GMT-04:00) La Paz
25;Bosnia and Herzegovina;(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague
19;Botswana;(GMT+02:00) Windhoek
306;Bouvet Island;(GMT+01:00) West Central Africa
32;Brazil;(GMT-03:00) Brasilia
114;British Indian Ocean Territory;(GMT+05:00) Islamabad, Karachi, Tashkent
37;Brunei;(GMT+08:00) Kuala Lumpur, Singapore
35;Bulgaria;(GMT+02:00) Athens, Bucharest, Istanbul
245;Burkina Faso;(GMT) Casablanca, Monrovia, Reykjavik
38;Burundi;(GMT+02:00) Windhoek
40;Cambodia;(GMT+07:00) Bangkok, Hanoi, Jakarta
49;Cameroon;(GMT+01:00) West Central Africa
39;Canada;(GMT-04:00) Atlantic Time (Canada)
57;Cape Verde;(GMT-01:00) Cape Verde Is.
307;Cayman Islands;(GMT-05:00) Bogota, Lima, Quito, Rio Branco
55;Central African Republic;(GMT+01:00) West Central Africa
41;Chad;(GMT+01:00) West Central Africa
308;Channel Islands;(GMT+01:00) West Central Africa
46;Chile;(GMT-04:00) Santiago
45;China;(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi
309;Christmas Island;(GMT+07:00) Bangkok, Hanoi, Jakarta
310;Clipperton Island;(GMT-08:00) Pacific Time (US & Canada)
311;Cocos (Keeling) Islands;(GMT-10:00) Hawaii
51;Colombia;(GMT-05:00) Bogota, Lima, Quito, Rio Branco
50;Comoros;(GMT+03:00) Nairobi
43;Congo;(GMT+01:00) West Central Africa
44;Congo (DRC);(GMT+02:00) Windhoek
312;Cook Islands;(GMT-10:00) Hawaii
313;Coral Sea Islands;(GMT+10:00) Canberra, Melbourne, Sydney
54;Costa Rica;(GMT-06:00) Central Time (US & Canada)
119;C?te d’Ivoire;(GMT) Casablanca, Monrovia, Reykjavik
108;Croatia;(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague
56;Cuba;(GMT-03:00) Buenos Aires, Georgetown
59;Cyprus;(GMT+02:00) Beirut
75;Czech Republic;(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague
61;Denmark;(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
314;Diego Garcia;(GMT+05:00) Islamabad, Karachi, Tashkent
62;Djibouti;(GMT+03:00) Nairobi
63;Dominica;(GMT-04:00) Atlantic Time (Canada)
65;Dominican Republic;(GMT-04:00) Atlantic Time (Canada)
66;Ecuador;(GMT-05:00) Bogota, Lima, Quito, Rio Branco
67;Egypt;(GMT+02:00) Cairo
72;El Salvador;(GMT-06:00) Guadalajara, Mexico City, Monterrey - New
69;Equatorial Guinea;(GMT+01:00) West Central Africa
71;Eritrea;(GMT+03:00) Nairobi
70;Estonia;(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
73;Ethiopia;(GMT+03:00) Nairobi
315;Falkland Islands (Islas Malvinas);(GMT-04:00) Santiago
81;Faroe Islands;(GMT) Greenwich Mean Time : Dublin, Edinburgh, Lisbon, London
78;Fiji Islands;(GMT+12:00) Fiji, Kamchatka, Marshall Is.
77;Finland;(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
84;France;(GMT+01:00) Brussels, Copenhagen, Madrid, Paris
317;French Guiana;(GMT-04:00) Santiago
318;French Polynesia;(GMT-10:00) Hawaii
319;French Southern and Antarctic Lands;(GMT+05:00) Islamabad, Karachi, Tashkent
87;Gabon;(GMT+01:00) West Central Africa
86;Gambia;(GMT) Casablanca, Monrovia, Reykjavik
88;Georgia;(GMT+04:00) Caucasus Standard Time
94;Germany;(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
89;Ghana;(GMT) Casablanca, Monrovia, Reykjavik
90;Gibraltar;(GMT+01:00) Brussels, Copenhagen, Madrid, Paris
98;Greece;(GMT+02:00) Athens, Bucharest, Istanbul
93;Greenland;(GMT-03:00) Greenland
91;Grenada;(GMT-04:00) Manaus
321;Guadeloupe;(GMT-04:00) Manaus
322;Guam;(GMT+10:00) Guam, Port Moresby
323;Guantanamo Bay;(GMT+05:00) Islamabad, Karachi, Tashkent
99;Guatemala;(GMT-06:00) Guadalajara, Mexico City, Monterrey - New
324;Guernsey;(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
100;Guinea;(GMT) Greenwich Mean Time : Dublin, Edinburgh, Lisbon, London
196;Guinea-Bissau;(GMT-01:00) Azores
101;Guyana;(GMT-03:00) Brasilia
103;Haiti;(GMT-05:00) Eastern Time (US & Canada)
325;Heard Island and McDonald Islands;(GMT+05:00) Islamabad, Karachi, Tashkent
106;Honduras;(GMT-06:00) Guadalajara, Mexico City, Monterrey - New
104;Hong Kong S.A.R.;(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi
326;Howland Island;(GMT+12:00) Fiji, Kamchatka, Marshall Is.
109;Hungary;(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague
110;Iceland;(GMT) Casablanca, Monrovia, Reykjavik
113;India;(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi
111;Indonesia;(GMT+09:00) Osaka, Sapporo, Tokyo
116;Iran;(GMT+03:30) Tehran
121;Iraq;(GMT+03:00) Baghdad
68;Ireland;(GMT) Greenwich Mean Time : Dublin, Edinburgh, Lisbon, London
117;Israel;(GMT+02:00) Jerusalem
118;Italy;(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
124;Jamaica;(GMT-05:00) Eastern Time (US & Canada)
125;Jan Mayen;(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
122;Japan;(GMT+09:00) Osaka, Sapporo, Tokyo
327;Jarvis Island;(GMT-01:00) Azores
328;Jersey;(GMT) Greenwich Mean Time : Dublin, Edinburgh, Lisbon, London
127;Johnston Atoll;(GMT-10:00) Hawaii
126;Jordan;(GMT+02:00) Jerusalem
137;Kazakhstan;(GMT+06:00) Almaty, Novosibirsk
129;Kenya;(GMT+03:00) Nairobi
329;Kingman Reef;(GMT-11:00) Midway Island, Samoa
133;Kiribati;(GMT-12:00) International Date Line West
134;Korea;(GMT+09:00) Seoul
136;Kuwait;(GMT+03:00) Kuwait, Riyadh
130;Kyrgyzstan;(GMT+06:00) Almaty, Novosibirsk
138;Laos;(GMT+07:00) Bangkok, Hanoi, Jakarta
140;Latvia;(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
